ID,Major group,Family,Genus hybrid marker,Genus,Species hybrid marker,Species,Infraspecific rank,Infraspecific epithet,Authorship,Taxonomic status in TPL,Nomenclatural status from original data source,Confidence level,Source,Source id,IPNI id,Publication,Collation,Page,Date,Accepted ID
kew-129575,A,Araceae,,Monstera,,"blanchetii",,"","Schott",Synonym,,H,WCSP,129575,87467-1,"Prodr. Syst. Aroid.","367","","1860",kew-129571
tro-2106482,A,Araceae,,Monstera,,"bocatorana",,"","Croat & Grayum",Unresolved,,L,TRO,2106482,,"","","","",
kew-129576,A,Araceae,,Monstera,,"boliviana",,"","Rusby",Synonym,,H,WCSP,129576,163914-2,"Bull. New York Bot. Gard.","6: 494","","1910",kew-129639
kew-129577,A,Araceae,,Monstera,,"borsigiana",,"","K.Koch",Synonym,,H,WCSP,129577,87469-1,"Wochenschr. Gärtnerei Pflanzenk.","5: 275","","1862",kew-129588
tro-50142133,A,Araceae,,Monstera,,"borsigiana",,"","Engl.",Synonym,,M,TRO,50142133,,"Monogr. Phan.","2: 266-267","266","1879",kew-129588
kew-129578,A,Araceae,,Monstera,,"brownii",,"","S.Moore",Synonym,,H,WCSP,129578,163916-2,"Trans. Linn. Soc. London, Bot.","4: 502","","1895",kew-129571
kew-129579,A,Araceae,,Monstera,,"buseyi",,"","Croat & Grayum",Accepted,,H,WCSP,129579,315159-2,"Phytologia","82: 38","","1997",
kew-129580,A,Araceae,,Monstera,,"cannifolia",,"","Schott",Synonym,,H,WCSP,129580,87471-1,"Wiener Z. Kunst","4: 1028","","1830",kew-151910
kew-129581,A,Araceae,,Monstera,,"caudata",,"","(Roxb.) Schott",Synonym,,H,WCSP,129581,87472-1,"Wiener Z. Kunst","4: 1028","","1830",kew-70510
kew-344421,A,Araceae,,Monstera,,"cenepensis",,"","Croat",Accepted,,H,WCSP,344421,60441707-2,"Rodriguésia","56: 95","","2005",
tro-50292420,A,Araceae,,Monstera,,"chamense",,"","Croat",Unresolved,,L,TRO,50292420,,"","","","",
kew-129582,A,Araceae,,Monstera,,"chiapensis",,"","Matuda",Synonym,,H,WCSP,129582,163917-2,"Madroño","10: 48","","1949",kew-129568
tro-2105331,A,Araceae,,Monstera,,"churchilliana",,"","Croat & Grayum",Unresolved,,L,TRO,2105331,,"","","","",
